id,text,dept,urgent,needs_human,category,note
q074,さすが、また障害ですか。毎週楽しみにしています。,technical,1,1,sarcasm,
q075,同じ内容の請求書が2通届きました。どちらが正しいですか。,billing,0,0,normal,
q076,解約したいんだけど、どうすりゃいい？,sales,0,0,dialect,
q077,顧客データが他のユーザーから見えている可能性があります。すぐに確認してください。,technical,1,1,normal,urgent
q078,Invoiceの金額が間違っています。Please check.,billing,0,0,multilingual,
q079,御社のサービスを再販したいのですが、パートナー制度はありますか。,sales,0,0,normal,
q080,SEO対策で御社サイトを1位にします。今なら初月無料。,other,0,0,normal,spam/other
q081,APIのレスポンスが今朝から500エラーを返し続けています。本番に影響が出ています。,technical,1,1,normal,
q082,本番環境のデータが誤って削除されました。復旧できますか。,technical,1,1,normal,urgent
q083,御社と共同でウェビナーを開催したいです。,other,0,1,normal,
q084,御社の記事を弊社メディアで紹介したいのですが、掲載許可をいただけますか。,other,0,0,normal,spam/other
q085,怒っているわけではないですが、対応が遅いと感じています。,other,0,1,negation,
q086,複数年契約の割引はありますか。,sales,0,0,normal,
q087,何度言えばわかるんですか。請求書の宛名が違うと3回言っています。,billing,0,1,sarcasm,
q088,アプリが落ちるっちゃけど、なんとかならん？,technical,0,0,dialect,
q089,Login failed のエラーが出ます。急ぎです。,technical,1,0,multilingual,
q090,御社の担当者が変わったと聞きました。新しい方を教えてください。,sales,0,0,normal,
q091,アンケートにご協力ください。所要時間は3分です。,other,0,0,normal,spam/other
q092,御社の担当者から不適切な発言を受けました。責任者と話したいです。,other,1,1,boundary,needs_human
q093,通知が来なくなった🤔 設定は変えてないです,technical,0,0,emoji,
q094,APIキーを再発行してください。,technical,0,0,normal,
q095,お世話になっております。9月分の請求書を確認したところ、8月に解約した3アカウント分の料金が含まれておりました。解約手続きは8/20に完了しており、控えも保管しております。訂正した請求書の再発行をお願いいたします。,billing,0,1,normal,long
q096,契約更新の時期を教えてください。,sales,0,0,normal,
q097,通知来ないんだけどマジで困ってる。今日中に直る？,technical,1,0,dialect,
q098,"Hi, I can't access my dashboard since this morning. Please help.",technical,1,0,multilingual,
q099,返金はいつ振り込まれますか。,billing,0,0,normal,
q100,APIのれすぽんすがおそいです。きのうから,technical,0,0,typo,
q101,御社のオフィスの住所を教えてください。,other,0,0,normal,
q102,よろしくお願いします。,other,0,1,insufficient,
q103,問題は解決しました。念のため原因を教えてもらえますか。,technical,0,0,negation,
q104,ログインできへんくなったんやけど、どうしたらええ？,technical,1,0,dialect,
q105,プラン上げたいんやけど、なんぼになる？,sales,0,0,dialect,
q106,個人情報を含むファイルを誤って共有リンクで公開してしまいました。無効化してください。,technical,1,1,normal,urgent
q107,ダウンロードしたファイルがウイルス対策ソフトに引っかかります。,technical,1,1,normal,
q108,スマホアプリで通知が届かなくなりました。設定は変えていません。,technical,0,0,normal,
q109,契約書の内容に法的な疑義があります。法務の方につないでください。,sales,0,1,boundary,needs_human
q110,エンタープライズプランの見積もりをお願いします。ユーザー数は300名です。,sales,0,0,normal,
q111,?,other,0,1,insufficient,
q112,請求書に記載の利用量が実際より多い気がします。ログで確認できますか。,billing,0,0,boundary,billing/technical境界
q113,ログインできない😭 急ぎです！！,technical,1,0,emoji,
q114,年額プランに切り替えた場合、日割り計算はどうなりますか。,billing,0,0,normal,
q115,いい加減にしてください。ログインできない状態が2日続いています。,technical,1,1,sarcasm,
q116,明日の役員会でデモを行うので、本日中にアカウントを発行してもらえますか。,sales,1,0,normal,urgent
q117,あれの続きです,other,0,1,insufficient,
q118,エラーは出ていません。ただ、この挙動が正しいのか確認したいです。,technical,0,0,negation,
q119,請求書の消費税の計算が間違っている気がします。,billing,0,0,normal,
q120,退会するつもりはないのですが、プランを下げる方法はありますか。,sales,0,0,negation,
q121,ダッシュボードのグラフが昨日から更新されていません。,technical,0,0,normal,
q122,急ぎでなくて構いませんが、本番でデータが消えているのは確認してほしいです。,technical,1,1,negation,
q123,2段階認証のコードが届きません。,technical,1,0,normal,
q124,Webhookの設定方法を教えてください。ドキュメントのどこを見ればいいですか。,technical,0,0,normal,
q125,見積もりは今は要りません。機能一覧だけ送ってもらえますか。,sales,0,0,negation,
q126,デモ希望です🙌 来週どこか空いてますか？,sales,0,0,emoji,
q127,弊社の顧客から、御社経由で情報が漏れたのではと問い合わせがありました。,technical,1,1,boundary,needs_human
q128,退職した社員のアカウントを削除してください。,technical,0,0,normal,
q129,特に困ってはいないのですが、ログイン画面のデザインが変わったのは仕様ですか。,technical,0,0,negation,
q130,導入事例を教えてください。,sales,0,0,normal,
q131,ろぐいんできません。ぱすわーどはあってます,technical,1,0,typo,
q132,契約期間の途中で解約した場合、違約金はありますか。,sales,0,0,normal,
q133,緊急ではないです。来月の契約更新について相談したいだけです。,sales,0,0,negation,
q134,クレジットカードの有効期限が切れたので、支払い方法を変更したいです。,billing,0,0,normal,
q135,先日の件、どうなりましたか。,other,0,1,insufficient,
q136,请问账单金额为什么增加了？,billing,0,0,multilingual,
q137,支払いが完了したのにアカウントが有効になりません。,billing,1,0,boundary,billing/technical境界
q138,いつもお世話になっております。御社サービスの利用を検討している者です。現在、社内で複数のツールを比較しており、セキュリティ面（データの保存場所、暗号化、SOC2の取得状況）について詳しく伺いたく、ご担当者様との打ち合わせをお願いできますでしょうか。,sales,0,0,normal,long
q139,プランを上げたら請求額はいくらになりますか。,sales,0,0,boundary,sales/billing境界
q140,御社への支払いが遅れそうです。猶予をもらえますか。,billing,0,1,normal,
q141,データのバックアップは自動で取られていますか。,technical,0,0,normal,
q142,契約書のドラフトに技術要件を追記してほしいです。,sales,0,1,boundary,sales/legal境界
q143,見積書の金額が提案時と違います。,sales,0,0,boundary,sales/billing境界
q144,プレスリリースの掲載依頼はどちらに送ればよいですか。,other,0,0,normal,
q145,ログインしようとすると「認証エラー」と表示されて入れません。,technical,1,0,normal,
q146,CSVエクスポートを実行しても空のファイルがダウンロードされます。,technical,0,0,normal,
q147,先週問い合わせた件（チケット番号 #48213）ですが、まだ回答をいただけていません。内容はCSVインポート時に文字化けが発生するというもので、業務上の緊急性は高くありませんが、進捗だけでも教えていただけると助かります。,technical,0,0,normal,long
q148,採用に応募したいのですが、どこから応募できますか。,other,0,0,normal,
q149,画像アップロードの上限サイズはいくつですか。,technical,0,0,normal,
q150,利用規約の改定日はいつですか。,other,0,0,normal,
